variant,op,metric,pieoff_p50,pieon_p50,speedup,delta_pct
ML-KEM-1024,decaps,cycles,4014391,3806091,1.055,-5.19
ML-KEM-1024,decaps,energy_uj,7344,6753,1.088,-8.05
ML-KEM-1024,decaps,time_us,25092,23790,1.055,-5.19
ML-KEM-1024,encaps,cycles,3471041,3318460,1.046,-4.40
ML-KEM-1024,encaps,energy_uj,6145,5996,1.025,-2.42
ML-KEM-1024,encaps,time_us,21695,20742,1.046,-4.39
ML-KEM-1024,keygen,cycles,3040048,2918012,1.042,-4.01
ML-KEM-1024,keygen,energy_uj,5639,5000,1.128,-11.33
ML-KEM-1024,keygen,time_us,19001,18239,1.042,-4.01
ML-KEM-512,decaps,cycles,1812356,1722904,1.052,-4.94
ML-KEM-512,decaps,energy_uj,3137,3047,1.030,-2.87
ML-KEM-512,decaps,time_us,11328,10769,1.052,-4.93
ML-KEM-512,encaps,cycles,1489705,1427107,1.044,-4.20
ML-KEM-512,encaps,energy_uj,2604,2469,1.055,-5.18
ML-KEM-512,encaps,time_us,9312,8923,1.044,-4.18
ML-KEM-512,keygen,cycles,1255527,1212305,1.036,-3.44
ML-KEM-512,keygen,energy_uj,2053,2007,1.023,-2.24
ML-KEM-512,keygen,time_us,7849,7579,1.036,-3.44
ML-KEM-768,decaps,cycles,2775160,2637772,1.052,-4.95
ML-KEM-768,decaps,energy_uj,4934,4736,1.042,-4.01
ML-KEM-768,decaps,time_us,17345,16487,1.052,-4.95
ML-KEM-768,encaps,cycles,2348736,2243433,1.047,-4.48
ML-KEM-768,encaps,energy_uj,4287,3822,1.122,-10.85
ML-KEM-768,encaps,time_us,14681,14026,1.047,-4.46
ML-KEM-768,keygen,cycles,1991664,1912848,1.041,-3.96
ML-KEM-768,keygen,energy_uj,3634,3196,1.137,-12.05
ML-KEM-768,keygen,time_us,12451,11957,1.041,-3.97
